# Values for Figure 3 in Rupp et al. (202x). Temperature Gradients and Inversions in a Forested Cascade Range Basin: Synoptic- to Local-Scale Controls. J. Geophys. Res. Atmos. x(x). xx-xx. doi:...
# File created 2020-10-16 by David E. Rupp (david.rupp@oregonstate.edu).
# Mean monthly temperature inversion frequency with 2.5th and 97.5the percentile confidence limits
# Nighttime = period beginning 4 hours after sunset and ending 4 hours after sunrise on unobstructed horizontal surface
# Daytime = period beginning 4 hours after sunrise and ending 4 hours after sunset on unobstructed horizontal surface
# ERA5 = European Centre for Medium-Range Weather Forecasts (ECMWF) Re-Analysis 5 dataset (Hersbach et al. 2020)
# ERA5_436_1268M = ERA5 from 436 to 1269 m at 123.00 degrees W; 44.25 degrees N
# ERA5_490_1310M = ERA5 from 490 to 1310 m at 123.00 degrees W; 44.25 degrees N
# ERA5_532_807M = ERA5 from 532 to 807 m at 123.00 degrees W; 44.25 degrees N
# ERA5_816_979M = ERA5 from 816 to 979 m at 123.00 degrees W; 44.25 degrees N
# RS02 = Reference Stand 2; RS04 = Reference Stand 4 (Daly and McKee 2016)
# PRIMET = Primary meteorological station; VANMET = Vanilla Leaf meteorological station (Daly and McKee 2019)
# LLT = Lower Lookout transect; ULT = Upper Lookout transect (Daly 2017)
# Relative_freq = Relative inversion frequency (fraction)
# 025CL = 2.5th percentile of confidence limit of relative frequency
# 975CL = 97.5th percentile of confidence limit of relative frequency
# CLEAR_SKY_SOLAR = Monthly mean estimated clear sky insolation (Watts per square meter)
# CLOUDINESS_INDEX = Monthly mean estimated daily cloudiness index (unitless: megajoules per square meter per day divided by megajoules per square meter per day)
# Nighttime inversion frequency
"Site","Statistic","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"ERA5_436_1268M","025CL",0.126,0.033,0.004,0.008,0.032,0.025,0.059,0.052,0.041,0.058,0.075,0.09
"ERA5_436_1268M","975CL",0.144,0.044,0.009,0.014,0.044,0.036,0.075,0.066,0.053,0.072,0.088,0.105
"ERA5_490_1310M","Relative_freq",0.122,0.034,0.005,0.01,0.044,0.035,0.083,0.069,0.055,0.069,0.074,0.092
"ERA5_490_1310M","025CL",0.114,0.029,0.003,0.008,0.037,0.029,0.074,0.061,0.048,0.063,0.068,0.086
"ERA5_490_1310M","975CL",0.131,0.039,0.008,0.014,0.051,0.042,0.092,0.077,0.062,0.076,0.081,0.1
"ERA5_532_807M","Relative_freq",0.187,0.082,0.029,0.033,0.071,0.048,0.096,0.098,0.073,0.103,0.13,0.137
"ERA5_532_807M","025CL",0.177,0.074,0.024,0.028,0.063,0.041,0.087,0.089,0.065,0.095,0.122,0.128
"ERA5_532_807M","975CL",0.197,0.09,0.034,0.039,0.08,0.055,0.107,0.108,0.081,0.112,0.139,0.145
"ERA5_816_979M","Relative_freq",0.11,0.054,0.028,0.038,0.119,0.111,0.203,0.156,0.136,0.118,0.078,0.088
"ERA5_816_979M","025CL",0.103,0.048,0.024,0.033,0.108,0.101,0.19,0.145,0.126,0.109,0.071,0.082
"ERA5_816_979M","975CL",0.119,0.06,0.033,0.044,0.13,0.122,0.216,0.167,0.147,0.127,0.085,0.096
"RS04_RS02","Relative_freq",0.276,0.09,0.034,0.005,0.005,0.007,0.026,0.03,0.087,0.138,0.172,0.196
"RS04_RS02","025CL",0.262,0.08,0.029,0.003,0.003,0.005,0.022,0.026,0.079,0.128,0.16,0.184
"RS04_RS02","975CL",0.291,0.1,0.041,0.007,0.007,0.01,0.031,0.035,0.095,0.149,0.184,0.209
"VANMET_PRIMET","Relative_freq",0.424,0.215,0.101,0.041,0.032,0.026,0.057,0.072,0.178,0.237,0.243,0.311
"VANMET_PRIMET","025CL",0.408,0.202,0.093,0.035,0.028,0.022,0.052,0.065,0.168,0.225,0.23,0.296
"VANMET_PRIMET","975CL",0.44,0.229,0.11,0.046,0.037,0.031,0.064,0.079,0.189,0.25,0.257,0.326
"LLT","Relative_freq",0.69,0.573,0.478,0.267,0.235,0.241,0.301,0.323,0.509,0.486,0.454,0.585
"LLT","025CL",0.676,0.559,0.465,0.255,0.224,0.23,0.288,0.309,0.489,0.467,0.437,0.57
"LLT","975CL",0.703,0.588,0.491,0.279,0.247,0.253,0.314,0.338,0.528,0.505,0.471,0.6
"ULT","Relative_freq",0.748,0.573,0.652,0.614,0.537,0.571,0.774,0.762,0.728,0.624,0.544,0.535
"ULT","025CL",0.733,0.556,0.637,0.598,0.52,0.552,0.758,0.747,0.712,0.607,0.527,0.52
"ULT","975CL",0.762,0.59,0.667,0.63,0.554,0.589,0.789,0.777,0.743,0.64,0.562,0.551
# Clear-sky insolation and cloudiness index
"Site","Variable","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"VANMET","CLEAR_SKY_SOLAR",96.5,152.9,222.9,287,332,351.3,340.6,302.4,244.7,175.2,110.8,78.8
"VANMET","CLOUDINESS_INDEX",0.52,0.55,0.56,0.47,0.36,0.3,0.12,0.16,0.25,0.4,0.57,0.58
