# Values for Figure 2 in Rupp et al. (202x). Temperature Gradients and Inversions in a Forested Cascade Range Basin: Synoptic- to Local-Scale Controls. J. Geophys. Res. Atmos. x(x). xx-xx. doi:...
# File created 2020-10-16 by David E. Rupp (david.rupp@oregonstate.edu).
# Mean temperature inversion frequency by hour of day and month with 2.5th and 97.5th percentile confidence limits
# RS02 = Reference Stand 2; RS04 = Reference Stand 4 (Daly and McKee 2016)
# PRIMET = Primary meteorological station; VANMET = Vanilla Leaf meteorological station (Daly and McKee 2019)
# LLT = Lower Lookout transect; ULT = Upper Lookout transect (Daly 2017)
# Hour = Hour of day (PST).
# RS04-RS02
# Relative frequency (fraction)
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
# 2.5th percentile confidence limit on relative frequency
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1,0.337,0.184,0.134,0.083,0.064,0.062,0.293,0.305,0.426,0.315,0.217,0.222
2,0.339,0.198,0.139,0.102,0.125,0.111,0.35,0.406,0.462,0.332,0.219,0.222
3,0.337,0.198,0.155,0.125,0.164,0.163,0.421,0.475,0.5,0.356,0.219,0.224
4,0.337,0.198,0.158,0.157,0.209,0.211,0.485,0.526,0.516,0.351,0.228,0.22
5,0.347,0.198,0.158,0.185,0.237,0.277,0.545,0.566,0.537,0.351,0.232,0.226
6,0.357,0.193,0.158,0.183,0.265,0.305,0.572,0.607,0.551,0.356,0.236,0.235
7,0.362,0.207,0.153,0.185,0.26,0.225,0.534,0.604,0.548,0.363,0.247,0.233
8,0.364,0.207,0.166,0.152,0.142,0.101,0.32,0.477,0.518,0.361,0.243,0.237
9,0.38,0.215,0.125,0.055,0.025,0.031,0.116,0.248,0.401,0.334,0.227,0.239
10,0.38,0.193,0.08,0.01,0,0.003,0.025,0.068,0.233,0.277,0.218,0.237
11,0.339,0.124,0.033,0.001,0,0.001,0.003,0.021,0.09,0.179,0.2,0.211
12,0.275,0.081,0.007,0,0,0,0,0.003,0.026,0.104,0.161,0.189
13,0.231,0.05,0.007,0,0,0,0,0,0.007,0.07,0.141,0.168
14,0.203,0.043,0.003,0,0,0,0,0,0.003,0.045,0.111,0.153
15,0.191,0.033,0.003,0,0,0,0,0,0.002,0.041,0.107,0.132
16,0.188,0.028,0.003,0,0,0,0,0,0.003,0.047,0.113,0.139
17,0.208,0.031,0.005,0,0,0,0,0,0.004,0.078,0.126,0.145
18,0.239,0.048,0.015,0,0,0,0,0,0.024,0.1,0.137,0.16
19,0.262,0.076,0.019,0,0,0,0,0,0.046,0.14,0.152,0.174
20,0.284,0.102,0.045,0,0,0,0,0.001,0.088,0.174,0.172,0.179
21,0.299,0.132,0.054,0.002,0,0,0.006,0.017,0.169,0.209,0.189,0.183
22,0.31,0.146,0.077,0.008,0.002,0.001,0.027,0.05,0.233,0.242,0.205,0.194
23,0.31,0.16,0.093,0.041,0.003,0.008,0.09,0.115,0.319,0.272,0.209,0.207
24,0.316,0.17,0.131,0.057,0.029,0.018,0.197,0.211,0.386,0.306,0.21,0.218
# RS04-RS02
# 97.5th percentile confidence limit on relative frequency
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1,0.436,0.278,0.218,0.151,0.125,0.124,0.392,0.404,0.528,0.411,0.302,0.307
2,0.439,0.294,0.224,0.176,0.203,0.189,0.452,0.509,0.563,0.429,0.305,0.307
3,0.436,0.294,0.244,0.203,0.249,0.251,0.525,0.578,0.601,0.454,0.306,0.309
4,0.436,0.294,0.247,0.242,0.3,0.306,0.589,0.628,0.616,0.449,0.315,0.304
5,0.446,0.294,0.247,0.275,0.331,0.379,0.647,0.667,0.636,0.449,0.32,0.312
6,0.457,0.288,0.247,0.272,0.362,0.408,0.673,0.706,0.651,0.454,0.324,0.321
7,0.462,0.304,0.241,0.275,0.356,0.322,0.637,0.703,0.648,0.462,0.336,0.319
8,0.465,0.304,0.257,0.236,0.223,0.176,0.421,0.581,0.619,0.459,0.332,0.324
9,0.48,0.313,0.208,0.114,0.069,0.081,0.191,0.343,0.502,0.432,0.314,0.326
10,0.48,0.288,0.151,0.043,0.015,0.029,0.069,0.131,0.324,0.371,0.304,0.324
11,0.439,0.207,0.085,0.02,0.015,0.021,0.027,0.062,0.157,0.262,0.284,0.295
12,0.37,0.153,0.039,0.01,0.015,0.016,0.01,0.027,0.069,0.174,0.239,0.271
13,0.322,0.111,0.039,0.01,0.01,0.011,0.01,0.015,0.037,0.13,0.216,0.246
14,0.291,0.1,0.031,0.01,0.01,0.011,0.01,0.015,0.026,0.096,0.18,0.229
15,0.277,0.086,0.031,0.01,0.01,0.011,0.01,0.015,0.022,0.09,0.175,0.204
16,0.274,0.078,0.031,0.01,0.01,0.011,0.01,0.015,0.026,0.099,0.183,0.212
17,0.296,0.082,0.035,0.01,0.01,0.011,0.01,0.01,0.03,0.141,0.198,0.22
18,0.331,0.108,0.055,0.01,0.01,0.011,0.01,0.01,0.066,0.168,0.211,0.236
19,0.356,0.146,0.062,0.01,0.01,0.016,0.015,0.01,0.099,0.217,0.229,0.253
20,0.38,0.18,0.102,0.01,0.01,0.011,0.015,0.019,0.154,0.257,0.252,0.258
21,0.396,0.217,0.116,0.024,0.01,0.016,0.035,0.055,0.251,0.296,0.272,0.263
22,0.408,0.234,0.147,0.04,0.023,0.021,0.072,0.106,0.324,0.332,0.289,0.275
23,0.408,0.25,0.168,0.094,0.027,0.041,0.158,0.189,0.417,0.366,0.294,0.29
24,0.414,0.262,0.215,0.117,0.075,0.06,0.286,0.301,0.487,0.401,0.295,0.302
# VANMET-PRIMET
# Relative frequency (fraction)
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1,0.386,0.229,0.173,0.114,0.091,0.089,0.341,0.353,0.477,0.362,0.258,0.263
2,0.388,0.244,0.179,0.136,0.161,0.147,0.401,0.457,0.513,0.38,0.26,0.263
3,0.386,0.244,0.197,0.161,0.204,0.205,0.473,0.527,0.551,0.404,0.261,0.265
4,0.386,0.244,0.2,0.197,0.253,0.256,0.538,0.578,0.567,0.4,0.27,0.26
5,0.396,0.244,0.2,0.228,0.282,0.327,0.597,0.618,0.587,0.4,0.274,0.267
6,0.406,0.238,0.2,0.225,0.312,0.355,0.624,0.658,0.602,0.404,0.279,0.276
7,0.411,0.253,0.194,0.228,0.306,0.272,0.586,0.655,0.599,0.412,0.29,0.274
8,0.414,0.253,0.209,0.192,0.18,0.135,0.369,0.529,0.569,0.409,0.286,0.279
9,0.429,0.262,0.164,0.081,0.043,0.052,0.151,0.294,0.451,0.382,0.269,0.281
10,0.429,0.238,0.112,0.022,0.003,0.012,0.043,0.096,0.277,0.323,0.26,0.279
11,0.388,0.162,0.054,0.006,0.003,0.006,0.011,0.037,0.121,0.218,0.24,0.251
12,0.321,0.113,0.018,0,0.003,0.003,0,0.011,0.044,0.136,0.198,0.228
13,0.275,0.076,0.018,0,0,0,0,0.003,0.018,0.097,0.176,0.205
14,0.245,0.067,0.012,0,0,0,0,0.003,0.01,0.067,0.143,0.189
15,0.232,0.055,0.012,0,0,0,0,0.003,0.008,0.062,0.138,0.166
16,0.229,0.049,0.012,0,0,0,0,0.003,0.01,0.069,0.145,0.173
17,0.25,0.052,0.015,0,0,0,0,0,0.013,0.107,0.16,0.18
18,0.284,0.074,0.03,0,0,0,0,0,0.041,0.132,0.171,0.196
19,0.307,0.107,0.036,0,0,0.003,0.003,0,0.069,0.176,0.188,0.212
20,0.331,0.138,0.069,0,0,0,0.003,0.005,0.118,0.213,0.21,0.217
21,0.346,0.172,0.082,0.008,0,0.003,0.016,0.032,0.208,0.251,0.229,0.221
22,0.358,0.187,0.109,0.019,0.008,0.006,0.046,0.075,0.277,0.285,0.245,0.233
23,0.358,0.202,0.127,0.064,0.011,0.02,0.121,0.149,0.367,0.318,0.25,0.247
24,0.364,0.213,0.17,0.083,0.048,0.035,0.239,0.254,0.436,0.352,0.251,0.258
# VANMET-PRIMET
# 2.5th percentile confidence limit on relative frequency
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1,0.337,0.184,0.134,0.083,0.064,0.062,0.293,0.305,0.426,0.315,0.217,0.222
2,0.339,0.198,0.139,0.102,0.125,0.111,0.35,0.406,0.462,0.332,0.219,0.222
3,0.337,0.198,0.155,0.125,0.164,0.163,0.421,0.475,0.5,0.356,0.219,0.224
4,0.337,0.198,0.158,0.157,0.209,0.211,0.485,0.526,0.516,0.351,0.228,0.22
5,0.347,0.198,0.158,0.185,0.237,0.277,0.545,0.566,0.537,0.351,0.232,0.226
6,0.357,0.193,0.158,0.183,0.265,0.305,0.572,0.607,0.551,0.356,0.236,0.235
7,0.362,0.207,0.153,0.185,0.26,0.225,0.534,0.604,0.548,0.363,0.247,0.233
8,0.364,0.207,0.166,0.152,0.142,0.101,0.32,0.477,0.518,0.361,0.243,0.237
9,0.38,0.215,0.125,0.055,0.025,0.031,0.116,0.248,0.401,0.334,0.227,0.239
10,0.38,0.193,0.08,0.01,0,0.003,0.025,0.068,0.233,0.277,0.218,0.237
11,0.339,0.124,0.033,0.001,0,0.001,0.003,0.021,0.09,0.179,0.2,0.211
12,0.275,0.081,0.007,0,0,0,0,0.003,0.026,0.104,0.161,0.189
13,0.231,0.05,0.007,0,0,0,0,0,0.007,0.07,0.141,0.168
14,0.203,0.043,0.003,0,0,0,0,0,0.003,0.045,0.111,0.153
15,0.191,0.033,0.003,0,0,0,0,0,0.002,0.041,0.107,0.132
16,0.188,0.028,0.003,0,0,0,0,0,0.003,0.047,0.113,0.139
17,0.208,0.031,0.005,0,0,0,0,0,0.004,0.078,0.126,0.145
18,0.239,0.048,0.015,0,0,0,0,0,0.024,0.1,0.137,0.16
19,0.262,0.076,0.019,0,0,0,0,0,0.046,0.14,0.152,0.174
20,0.284,0.102,0.045,0,0,0,0,0.001,0.088,0.174,0.172,0.179
21,0.299,0.132,0.054,0.002,0,0,0.006,0.017,0.169,0.209,0.189,0.183
22,0.31,0.146,0.077,0.008,0.002,0.001,0.027,0.05,0.233,0.242,0.205,0.194
23,0.31,0.16,0.093,0.041,0.003,0.008,0.09,0.115,0.319,0.272,0.209,0.207
24,0.316,0.17,0.131,0.057,0.029,0.018,0.197,0.211,0.386,0.306,0.21,0.218
# VANMET-PRIMET
# 97.5th percentile confidence limit on relative frequency
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1,0.436,0.278,0.218,0.151,0.125,0.124,0.392,0.404,0.528,0.411,0.302,0.307
2,0.439,0.294,0.224,0.176,0.203,0.189,0.452,0.509,0.563,0.429,0.305,0.307
3,0.436,0.294,0.244,0.203,0.249,0.251,0.525,0.578,0.601,0.454,0.306,0.309
4,0.436,0.294,0.247,0.242,0.3,0.306,0.589,0.628,0.616,0.449,0.315,0.304
5,0.446,0.294,0.247,0.275,0.331,0.379,0.647,0.667,0.636,0.449,0.32,0.312
6,0.457,0.288,0.247,0.272,0.362,0.408,0.673,0.706,0.651,0.454,0.324,0.321
7,0.462,0.304,0.241,0.275,0.356,0.322,0.637,0.703,0.648,0.462,0.336,0.319
8,0.465,0.304,0.257,0.236,0.223,0.176,0.421,0.581,0.619,0.459,0.332,0.324
9,0.48,0.313,0.208,0.114,0.069,0.081,0.191,0.343,0.502,0.432,0.314,0.326
10,0.48,0.288,0.151,0.043,0.015,0.029,0.069,0.131,0.324,0.371,0.304,0.324
11,0.439,0.207,0.085,0.02,0.015,0.021,0.027,0.062,0.157,0.262,0.284,0.295
12,0.37,0.153,0.039,0.01,0.015,0.016,0.01,0.027,0.069,0.174,0.239,0.271
13,0.322,0.111,0.039,0.01,0.01,0.011,0.01,0.015,0.037,0.13,0.216,0.246
14,0.291,0.1,0.031,0.01,0.01,0.011,0.01,0.015,0.026,0.096,0.18,0.229
15,0.277,0.086,0.031,0.01,0.01,0.011,0.01,0.015,0.022,0.09,0.175,0.204
16,0.274,0.078,0.031,0.01,0.01,0.011,0.01,0.015,0.026,0.099,0.183,0.212
17,0.296,0.082,0.035,0.01,0.01,0.011,0.01,0.01,0.03,0.141,0.198,0.22
18,0.331,0.108,0.055,0.01,0.01,0.011,0.01,0.01,0.066,0.168,0.211,0.236
19,0.356,0.146,0.062,0.01,0.01,0.016,0.015,0.01,0.099,0.217,0.229,0.253
20,0.38,0.18,0.102,0.01,0.01,0.011,0.015,0.019,0.154,0.257,0.252,0.258
21,0.396,0.217,0.116,0.024,0.01,0.016,0.035,0.055,0.251,0.296,0.272,0.263
22,0.408,0.234,0.147,0.04,0.023,0.021,0.072,0.106,0.324,0.332,0.289,0.275
23,0.408,0.25,0.168,0.094,0.027,0.041,0.158,0.189,0.417,0.366,0.294,0.29
24,0.414,0.262,0.215,0.117,0.075,0.06,0.286,0.301,0.487,0.401,0.295,0.302
# LLT
# Relative frequency (fraction)
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1,0.737,0.658,0.603,0.474,0.553,0.614,0.871,0.9,0.786,0.623,0.535,0.57
2,0.747,0.658,0.586,0.474,0.561,0.614,0.868,0.889,0.79,0.609,0.527,0.581
3,0.726,0.664,0.6,0.477,0.558,0.622,0.848,0.884,0.771,0.606,0.519,0.581
4,0.728,0.642,0.595,0.468,0.55,0.606,0.853,0.876,0.771,0.599,0.503,0.584
5,0.723,0.644,0.576,0.451,0.553,0.59,0.85,0.86,0.779,0.586,0.514,0.581
6,0.723,0.636,0.573,0.451,0.542,0.563,0.827,0.849,0.786,0.573,0.511,0.584
7,0.72,0.639,0.589,0.402,0.477,0.499,0.782,0.819,0.756,0.556,0.514,0.581
8,0.726,0.625,0.516,0.353,0.401,0.461,0.716,0.774,0.678,0.54,0.505,0.589
9,0.72,0.608,0.484,0.271,0.344,0.366,0.635,0.685,0.626,0.52,0.482,0.589
10,0.699,0.586,0.442,0.242,0.228,0.25,0.403,0.536,0.584,0.488,0.462,0.589
11,0.675,0.52,0.397,0.147,0.1,0.137,0.152,0.307,0.506,0.447,0.427,0.575
12,0.669,0.475,0.37,0.076,0.031,0.088,0.051,0.129,0.435,0.43,0.427,0.578
13,0.661,0.538,0.393,0.11,0.035,0.083,0.048,0.114,0.433,0.454,0.422,0.566
14,0.678,0.513,0.365,0.091,0.016,0.054,0.03,0.049,0.378,0.442,0.402,0.55
15,0.677,0.549,0.405,0.141,0.03,0.046,0.028,0.095,0.407,0.46,0.422,0.56
16,0.671,0.563,0.441,0.199,0.065,0.072,0.051,0.162,0.457,0.485,0.432,0.578
17,0.685,0.557,0.486,0.256,0.138,0.134,0.152,0.236,0.522,0.485,0.45,0.596
18,0.702,0.593,0.511,0.307,0.209,0.215,0.312,0.393,0.574,0.508,0.492,0.607
19,0.702,0.627,0.549,0.345,0.325,0.324,0.539,0.542,0.652,0.551,0.504,0.612
20,0.718,0.641,0.565,0.414,0.401,0.397,0.655,0.743,0.722,0.561,0.518,0.607
21,0.731,0.643,0.565,0.44,0.501,0.523,0.805,0.859,0.73,0.574,0.52,0.609
22,0.739,0.652,0.592,0.468,0.55,0.606,0.858,0.892,0.748,0.591,0.542,0.601
23,0.745,0.646,0.591,0.468,0.539,0.63,0.873,0.9,0.755,0.604,0.544,0.595
24,0.728,0.656,0.59,0.458,0.552,0.613,0.876,0.908,0.764,0.607,0.528,0.59
# LLT
# 2.5th percentile confidence limit on relative frequency
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1,0.689,0.607,0.551,0.421,0.501,0.562,0.833,0.865,0.732,0.565,0.483,0.519
2,0.7,0.607,0.534,0.421,0.509,0.562,0.831,0.853,0.736,0.552,0.475,0.53
3,0.677,0.613,0.548,0.423,0.506,0.571,0.808,0.847,0.717,0.548,0.467,0.53
4,0.68,0.59,0.543,0.415,0.498,0.554,0.814,0.838,0.717,0.542,0.451,0.533
5,0.675,0.593,0.524,0.398,0.501,0.538,0.811,0.82,0.724,0.528,0.461,0.53
6,0.675,0.584,0.521,0.398,0.49,0.511,0.786,0.809,0.732,0.515,0.459,0.533
7,0.672,0.587,0.537,0.35,0.425,0.447,0.738,0.776,0.7,0.498,0.461,0.53
8,0.677,0.573,0.464,0.303,0.351,0.41,0.668,0.728,0.618,0.482,0.453,0.538
9,0.672,0.556,0.432,0.225,0.296,0.317,0.585,0.635,0.565,0.462,0.43,0.538
10,0.65,0.533,0.39,0.198,0.186,0.207,0.354,0.484,0.522,0.431,0.41,0.538
11,0.625,0.466,0.345,0.111,0.071,0.104,0.118,0.261,0.444,0.39,0.376,0.524
12,0.619,0.421,0.32,0.05,0.015,0.062,0.031,0.097,0.375,0.374,0.376,0.527
13,0.611,0.485,0.341,0.079,0.019,0.057,0.029,0.083,0.373,0.397,0.371,0.515
14,0.627,0.46,0.316,0.063,0.006,0.033,0.016,0.029,0.32,0.385,0.351,0.499
15,0.627,0.496,0.355,0.106,0.015,0.027,0.014,0.067,0.347,0.403,0.371,0.51
16,0.621,0.51,0.389,0.158,0.042,0.048,0.031,0.126,0.397,0.428,0.381,0.527
17,0.636,0.504,0.434,0.211,0.105,0.101,0.118,0.193,0.461,0.428,0.398,0.546
18,0.652,0.541,0.459,0.259,0.168,0.174,0.267,0.343,0.513,0.45,0.44,0.556
19,0.652,0.574,0.496,0.295,0.278,0.277,0.489,0.49,0.592,0.493,0.452,0.561
20,0.669,0.589,0.513,0.362,0.351,0.347,0.606,0.695,0.665,0.503,0.465,0.556
21,0.683,0.591,0.513,0.387,0.449,0.471,0.763,0.819,0.672,0.516,0.468,0.559
22,0.691,0.6,0.54,0.415,0.498,0.554,0.82,0.855,0.692,0.533,0.49,0.55
23,0.697,0.594,0.539,0.415,0.487,0.579,0.837,0.864,0.699,0.546,0.492,0.545
24,0.68,0.604,0.538,0.405,0.499,0.561,0.839,0.874,0.709,0.549,0.476,0.539
# LLT
# 97.5th percentile confidence limit on relative frequency
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1,0.781,0.707,0.653,0.528,0.604,0.664,0.902,0.929,0.833,0.677,0.587,0.619
2,0.791,0.707,0.637,0.528,0.612,0.664,0.9,0.92,0.837,0.665,0.579,0.631
3,0.771,0.713,0.65,0.531,0.61,0.671,0.882,0.915,0.82,0.661,0.571,0.631
4,0.773,0.691,0.645,0.522,0.602,0.656,0.886,0.908,0.82,0.655,0.555,0.634
5,0.768,0.694,0.627,0.505,0.604,0.64,0.884,0.894,0.827,0.642,0.566,0.631
6,0.768,0.686,0.624,0.505,0.594,0.614,0.863,0.884,0.833,0.629,0.563,0.634
7,0.765,0.689,0.64,0.456,0.529,0.551,0.822,0.857,0.806,0.613,0.566,0.631
8,0.771,0.675,0.568,0.406,0.453,0.513,0.76,0.815,0.733,0.597,0.557,0.639
9,0.765,0.659,0.536,0.321,0.395,0.417,0.682,0.732,0.684,0.577,0.535,0.639
10,0.745,0.637,0.494,0.291,0.275,0.297,0.453,0.588,0.643,0.546,0.514,0.639
11,0.722,0.574,0.45,0.19,0.137,0.176,0.192,0.357,0.567,0.505,0.479,0.625
12,0.717,0.53,0.423,0.11,0.054,0.122,0.077,0.168,0.496,0.488,0.479,0.628
13,0.709,0.591,0.446,0.148,0.06,0.116,0.074,0.15,0.495,0.512,0.474,0.616
14,0.726,0.565,0.416,0.127,0.035,0.082,0.052,0.076,0.439,0.5,0.455,0.601
15,0.725,0.601,0.457,0.182,0.053,0.072,0.049,0.129,0.468,0.518,0.474,0.61
16,0.719,0.615,0.493,0.245,0.095,0.104,0.077,0.204,0.519,0.543,0.485,0.628
17,0.732,0.609,0.539,0.305,0.178,0.173,0.192,0.282,0.583,0.543,0.502,0.646
18,0.748,0.645,0.563,0.359,0.254,0.26,0.36,0.445,0.634,0.566,0.544,0.656
19,0.748,0.677,0.6,0.397,0.376,0.375,0.589,0.594,0.709,0.608,0.556,0.661
20,0.763,0.69,0.616,0.468,0.453,0.448,0.702,0.786,0.775,0.618,0.569,0.656
21,0.776,0.693,0.616,0.494,0.554,0.574,0.843,0.893,0.782,0.631,0.572,0.658
22,0.783,0.701,0.642,0.522,0.602,0.656,0.891,0.921,0.799,0.647,0.593,0.65
23,0.788,0.696,0.641,0.522,0.591,0.679,0.905,0.928,0.805,0.659,0.596,0.645
24,0.773,0.705,0.64,0.512,0.603,0.663,0.907,0.936,0.813,0.662,0.58,0.64
# ULT
# Relative frequency (fraction)
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1,0.767,0.583,0.616,0.596,0.657,0.66,0.902,0.912,0.818,0.661,0.575,0.528
2,0.767,0.591,0.609,0.577,0.657,0.656,0.895,0.912,0.815,0.651,0.583,0.531
3,0.756,0.591,0.601,0.577,0.633,0.656,0.889,0.891,0.806,0.648,0.564,0.542
4,0.749,0.571,0.595,0.585,0.617,0.643,0.866,0.883,0.791,0.645,0.539,0.534
5,0.738,0.575,0.588,0.562,0.593,0.619,0.852,0.856,0.771,0.632,0.525,0.536
6,0.735,0.571,0.595,0.531,0.605,0.598,0.833,0.856,0.774,0.616,0.547,0.547
7,0.717,0.563,0.577,0.535,0.609,0.607,0.836,0.833,0.776,0.634,0.556,0.547
8,0.71,0.563,0.573,0.535,0.565,0.58,0.826,0.827,0.75,0.64,0.533,0.577
9,0.706,0.563,0.559,0.523,0.544,0.57,0.797,0.791,0.702,0.608,0.522,0.553
10,0.717,0.535,0.579,0.53,0.506,0.514,0.71,0.748,0.681,0.576,0.518,0.55
11,0.724,0.534,0.576,0.591,0.423,0.336,0.465,0.655,0.676,0.585,0.524,0.555
12,0.731,0.512,0.615,0.605,0.394,0.323,0.361,0.609,0.688,0.596,0.518,0.558
13,0.728,0.566,0.671,0.635,0.455,0.448,0.517,0.573,0.712,0.625,0.543,0.534
14,0.72,0.59,0.723,0.657,0.512,0.49,0.662,0.676,0.702,0.615,0.543,0.539
15,0.727,0.613,0.716,0.643,0.46,0.585,0.757,0.767,0.706,0.629,0.533,0.53
16,0.749,0.622,0.718,0.659,0.492,0.601,0.833,0.782,0.754,0.634,0.547,0.514
17,0.746,0.61,0.712,0.651,0.593,0.626,0.81,0.831,0.756,0.634,0.528,0.534
18,0.767,0.602,0.688,0.619,0.593,0.634,0.859,0.848,0.744,0.618,0.539,0.534
19,0.767,0.598,0.645,0.604,0.573,0.642,0.856,0.839,0.738,0.621,0.561,0.539
20,0.778,0.579,0.649,0.591,0.565,0.622,0.837,0.83,0.759,0.64,0.575,0.55
21,0.796,0.571,0.652,0.61,0.581,0.63,0.843,0.868,0.771,0.645,0.575,0.542
22,0.792,0.583,0.649,0.649,0.605,0.671,0.882,0.894,0.779,0.642,0.592,0.555
23,0.792,0.555,0.631,0.649,0.623,0.669,0.895,0.897,0.796,0.659,0.583,0.542
24,0.778,0.567,0.631,0.604,0.641,0.663,0.895,0.906,0.799,0.637,0.583,0.528
# ULT
# 2.5th percentile confidence limit on relative frequency
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1,0.713,0.519,0.557,0.534,0.595,0.597,0.863,0.877,0.772,0.611,0.522,0.476
2,0.713,0.527,0.549,0.514,0.595,0.592,0.855,0.877,0.769,0.6,0.531,0.479
3,0.702,0.527,0.541,0.514,0.57,0.592,0.848,0.854,0.76,0.597,0.511,0.49
4,0.694,0.508,0.535,0.522,0.553,0.58,0.822,0.844,0.744,0.594,0.486,0.481
5,0.683,0.511,0.528,0.499,0.529,0.555,0.808,0.815,0.722,0.58,0.472,0.484
6,0.679,0.508,0.535,0.468,0.541,0.534,0.786,0.815,0.725,0.564,0.494,0.495
7,0.66,0.5,0.517,0.472,0.545,0.542,0.79,0.789,0.728,0.583,0.503,0.495
8,0.653,0.5,0.513,0.472,0.5,0.515,0.779,0.783,0.7,0.589,0.48,0.525
9,0.649,0.5,0.499,0.46,0.48,0.505,0.747,0.744,0.65,0.556,0.469,0.5
10,0.66,0.472,0.519,0.464,0.441,0.45,0.654,0.698,0.629,0.524,0.465,0.498
11,0.668,0.47,0.515,0.527,0.347,0.252,0.345,0.584,0.623,0.533,0.471,0.503
12,0.675,0.449,0.554,0.542,0.318,0.245,0.259,0.548,0.636,0.544,0.465,0.506
13,0.671,0.502,0.613,0.569,0.382,0.37,0.434,0.508,0.66,0.573,0.49,0.481
14,0.664,0.526,0.666,0.596,0.442,0.405,0.579,0.622,0.65,0.563,0.49,0.487
15,0.67,0.55,0.659,0.58,0.389,0.507,0.679,0.714,0.654,0.578,0.48,0.477
